Course,Section,Credits,Start Time,End Time,Day,Location
1159 - ACCT 250 Capstone Financial Accounting,HY  ,5.0,47,53,1,MON N120
1159 - ACCT 250 Capstone Financial Accounting,HY  ,5.0,47,53,3,MON N120
1132 - ACCT& 201 Principles of Accounting I,HY1 ,5.0,54,67,2,MON 120
1132 - ACCT& 201 Principles of Accounting I,HY1 ,5.0,54,67,4,MON 120
1134 - ACCT& 201 Principles of Accounting I,HY2 ,5.0,68,81,2,BAK 102
1134 - ACCT& 201 Principles of Accounting I,HY2 ,5.0,68,81,4,BAK 102
1140 - ACCT& 202 Principles of Accounting II,HY1 ,5.0,54,67,1,MON 120
1140 - ACCT& 202 Principles of Accounting II,HY1 ,5.0,54,67,3,MON 120
1141 - ACCT& 202 Principles of Accounting II,HY2 ,5.0,47,60,1,BAK 111
1141 - ACCT& 202 Principles of Accounting II,HY2 ,5.0,47,60,3,BAK 111
1151 - ACCT& 203 Principles of Accounting III,HY1 ,5.0,68,81,1,MON 120
1151 - ACCT& 203 Principles of Accounting III,HY1 ,5.0,68,81,3,MON 120
1155 - ACCT& 203 Principles of Accounting III,MO  ,5.0,77,90,1,TYE TYE
1155 - ACCT& 203 Principles of Accounting III,MO  ,5.0,77,90,3,TYE TYE
0230 - AEP 067 Academic Listening and Speaking,A   ,3.0,61,69,1,MON 110
0230 - AEP 067 Academic Listening and Speaking,A   ,3.0,61,69,3,MON 110
0232 - AEP 067 Academic Listening and Speaking,B   ,3.0,61,69,2,MON 110
0232 - AEP 067 Academic Listening and Speaking,B   ,3.0,61,69,4,MON 110
0242 - AEP 077 Academic English Grammar,B   ,4.0,54,59,1,NBI 101
0242 - AEP 077 Academic English Grammar,B   ,4.0,54,59,2,NBI 101
0242 - AEP 077 Academic English Grammar,B   ,4.0,54,59,3,NBI 101
0242 - AEP 077 Academic English Grammar,B   ,4.0,54,59,4,NBI 101
0252 - AEP 097 Academic Reading and Writing,B   ,5.0,75,81,1,MON 201
0252 - AEP 097 Academic Reading and Writing,B   ,5.0,75,81,2,MON 201
0252 - AEP 097 Academic Reading and Writing,B   ,5.0,75,81,3,MON 201
0252 - AEP 097 Academic Reading and Writing,B   ,5.0,75,81,4,MON 201
0260 - AEP 098 Introduction to College Reading and Writing,A   ,5.0,61,67,1,RAI 205
0260 - AEP 098 Introduction to College Reading and Writing,A   ,5.0,61,67,2,RAI 205
0260 - AEP 098 Introduction to College Reading and Writing,A   ,5.0,61,67,3,RAI 205
0260 - AEP 098 Introduction to College Reading and Writing,A   ,5.0,61,67,4,RAI 205
0262 - AEP 098 Introduction to College Reading and Writing,B   ,5.0,75,81,1,BAK 209
0262 - AEP 098 Introduction to College Reading and Writing,B   ,5.0,75,81,2,BAK 209
0262 - AEP 098 Introduction to College Reading and Writing,B   ,5.0,75,81,3,BAK 209
0262 - AEP 098 Introduction to College Reading and Writing,B   ,5.0,75,81,4,BAK 209
1507 - ANTH 116D Cultures in Context,HY  ,5.0,64,74,2,GWH 276
1507 - ANTH 116D Cultures in Context,HY  ,5.0,64,74,4,GWH 276
1502 - ANTH& 115 Our Place in Nature,HY  ,5.0,64,74,1,GWH 276
1502 - ANTH& 115 Our Place in Nature,HY  ,5.0,64,74,3,GWH 276
1583 - ART 110 Design I: 2 Dimensional,B   ,5.0,61,72,1,WHI 361
1583 - ART 110 Design I: 2 Dimensional,B   ,5.0,61,72,3,WHI 361
1583 - ART 110 Design I: 2 Dimensional,B   ,5.0,61,72,5,WHI 361
1584 - ART 111 Design II: 3 Dimensional,A   ,5.0,82,99,2,WHI 203
1584 - ART 111 Design II: 3 Dimensional,A   ,5.0,82,99,4,WHI 203
1589 - ART 115 Drawing I,S   ,5.0,110,127,2,WHI 300
1589 - ART 115 Drawing I,S   ,5.0,110,127,4,WHI 300
1592 - ART 124D Understanding World Art,MO  ,5.0,91,104,2,TYE 302
1592 - ART 124D Understanding World Art,MO  ,5.0,91,104,4,TYE 302
1602 - ART 200 Painting I,A   ,5.0,82,100,2,WHI 374
1602 - ART 200 Painting I,A   ,5.0,82,100,4,WHI 374
1603 - ART 201 Painting II,A   ,5.0,82,100,2,WHI 374
1603 - ART 201 Painting II,A   ,5.0,82,100,4,WHI 374
1613 - ART 230 Glassblowing I,CA  ,2.0,109,133,4,SAC SAC
1614 - ART 231 Glassblowing II,CA  ,2.0,109,133,3,SAC SAC
1625 - ART 270 Ceramics I,S   ,5.0,110,127,2,WHI 287
1625 - ART 270 Ceramics I,S   ,5.0,110,127,4,WHI 287
1627 - ART 271 Ceramics II,S   ,5.0,110,127,2,WHI 287
1627 - ART 271 Ceramics II,S   ,5.0,110,127,4,WHI 287
1629 - ART 272 Ceramics III,S   ,5.0,110,127,2,WHI 287
1629 - ART 272 Ceramics III,S   ,5.0,110,127,4,WHI 287
1638 - ART 294 Advanced Studio Art,A   ,5.0,75,92,1,WHI 372
1638 - ART 294 Advanced Studio Art,A   ,5.0,75,92,3,WHI 372
