CourseNumber,Title,MinCredit,MaxCredit,Description
ACCT 110HY  ,Small Business Accounting,-1,5.0,"Theory and practice of double-entry bookkeeping for small unincorporated businesses. Includes use of journals and ledgers, preparation of basic payroll records, worksheets, financial statements, bank statement reconciliations, and adjusting and closing entries.  Emphasizes development of basic bookkeeping knowledge and skills.  Not intended for transfer."
ACCT 110HY1 ,Small Business Accounting,-1,5.0,"Theory and practice of double-entry bookkeeping for small unincorporated businesses. Includes use of journals and ledgers, preparation of basic payroll records, worksheets, financial statements, bank statement reconciliations, and adjusting and closing entries.  Emphasizes development of basic bookkeeping knowledge and skills.  Not intended for transfer."
ACCT 210HY  ,Payroll,-1,5.0,"An examination of systems and operations of payroll accounting, including federal, state, and local payroll taxes related to business. Students will prepare payroll, record payroll, payroll tax forms, the basics of wage and hour lawsboth federal and state. Coursework will be conducted utilizing manual methods, and computer-based software. Not intended for transfer students. Assesses Core Learning Outcome 2."
ACCT 210OL  ,Payroll,-1,5.0,"An examination of systems and operations of payroll accounting, including federal, state, and local payroll taxes related to business. Students will prepare payroll, record payroll, payroll tax forms, the basics of wage and hour lawsboth federal and state. Coursework will be conducted utilizing manual methods, and computer-based software. Not intended for transfer students. Assesses Core Learning Outcome 2."
ACCT 215OL  ,Computer Accounting,-1,5.0,"Introduction to computerized bookkeeping and accounting. The standard accounting cycle with supporting schedules and worksheets will be completed using various computer programs: Integrated General Ledger software, including QuickBooks, and spreadsheets. Not intended for transfer. Assesses Core Learning Outcome 2."
ACCT& 201HY1 ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 201HY2 ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 201ML  ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 201MO  ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 201OL1 ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 201OL3 ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 202HY  ,Principles of Accounting II,-1,5.0,"(TE)  Continuation of ACCT& 201.  Focus on issues and choices involved in asset valuation, income determination, and financial statement preparation.  Topics covered include treatment of long-term assets, current and long-term liabilities, short- and long-term investments, and transactions affecting stockholder equity.  Also covers preparation of cash flow statements and calculation, as well as interpretation of financial performance ratios and comparative and common-size financial statements. Assesses Core Learning Outcomes 2, 3."
AEP 067A   ,Academic Listening and Speaking,-1,3.0,This course is designed for non-native speakers of English to practice advanced listening and speaking skills to specifically prepare for academic environments in an American classroom. *This course is only for students admitted through the International Programs office.
AEP 067B   ,Academic Listening and Speaking,-1,3.0,This course is designed for non-native speakers of English to practice advanced listening and speaking skills to specifically prepare for academic environments in an American classroom. *This course is only for students admitted through the International Programs office.
AEP 077A   ,Academic English Grammar,-1,4.0,"Advanced English grammar for non-native speakers with an emphasis on sentence function and pattern, parts of speech, and punctuation. Various types of clauses, compound, complex, and compound-complex sentences will be mastered. *This course is only for students admitted through the International Programs office."
AEP 077B   ,Academic English Grammar,-1,4.0,"Advanced English grammar for non-native speakers with an emphasis on sentence function and pattern, parts of speech, and punctuation. Various types of clauses, compound, complex, and compound-complex sentences will be mastered. *This course is only for students admitted through the International Programs office."
AEP 097A   ,Academic Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers with an emphasis on paragraph development, writing process, summarizing reading materials, scanning for information, and vocabulary development.  AEP 097 is equivalent to English 097 and may be substituted by English 097. *This course is only for students admitted through the International Programs office."
AEP 097B   ,Academic Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers with an emphasis on paragraph development, writing process, summarizing reading materials, scanning for information, and vocabulary development.  AEP 097 is equivalent to English 097 and may be substituted by English 097. *This course is only for students admitted through the International Programs office."
AEP 098A   ,Introduction to College Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers in preparation for college writing. The course covers the writing process and different styles of essay writing. In addition, it develops reading skills such as scanning for critical information, identifying main ideas, and supporting details. IELP 098 is equivalent to English 098 and may be substituted for English 098. *This course is only for students admitted through the International Programs office."
AEP 098B   ,Introduction to College Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers in preparation for college writing. The course covers the writing process and different styles of essay writing. In addition, it develops reading skills such as scanning for critical information, identifying main ideas, and supporting details. IELP 098 is equivalent to English 098 and may be substituted for English 098. *This course is only for students admitted through the International Programs office."
AMT& 251B   ,Reciprocating Engines I,-1,5.0,"Theory and application of reciprocating engine theory consisting of the history of aircraft engines, principles of energy transformation, theory of operation, engine requirements and configuration, and overhaul of horizontally opposed engines including the installation, troubleshooting, repair and removal of engines. Assesses Core Learning Outcomes 1, 2, 5. Lab fee: $71.63."
AMT& 252B   ,Reciprocating Engines II,-1,5.0,"Theory and application of reciprocating engine theory consisting of the history of aircraft engines, principles of energy transformation, theory of operation, engine requirements and configuration, and overhaul of horizontally opposed engines including the installation, troubleshooting, repair and removal of engines. Assesses Core Learning Outcomes 1, 2, 5."
AMT& 271B   ,Ignition and Start Systems,-1,6.0,"Theory and application of magneto and ignition harnesses, including operation, maintenance, and overhaul, inspection, servicing, troubleshooting, and repair of reciprocating and turbine engine ignition systems, components and turbine engine electrical and pneumatic starting systems. Assesses Core Learning Outcomes 1, 2, 5."
AMT& 275B   ,Lubrication Systems: Reciprocating Engines,-1,4.0,"Theory and application of engine lubrication systems and the requirements and characteristics of engine lubricants and lubrication systems. Assesses Core Learning Outcomes 1, 2, 5."
ANTH 116DHY  ,Cultures in Context,-1,5.0,"(SS, D) General study of the field of cultural anthropology, which studies humanity from a cross-cultural perspective and the field of linguistic anthropology which examines human verbal and non-verbal communication.  Writing assignments represent a significant component of coursework. Assesses Core Learning Outcomes 2, 3, 4."
