CourseNumber,Title,MinCredit,MaxCredit,Description
ACCT 112OL  ,Business Taxation,-1,5.0,"Fundamentals of federal income taxes for sole proprietorship form of business. Includes an overview of federal law governing payroll taxes.  Presents the basic framework of federal income tax filing requirements, the determination of and adjustments to gross income, personal and business deductions and business income.  Covers preparation of a basic federal income tax return using income tax software. Not intended for transfer."
ACCT 215OL  ,Computer Accounting,-1,5.0,"Introduction to computerized bookkeeping and accounting. The standard accounting cycle with supporting schedules and worksheets will be completed using various computer programs: Integrated General Ledger software, including QuickBooks, and spreadsheets. Not intended for transfer. Assesses Core Learning Outcome 2."
ACCT 250HY  ,Capstone Financial Accounting,-1,5.0,"A continuation of ACCT& 202.  Focuses on an expanded study of the fundamentals of accounting; including financial accounting theory and concepts; internal controls; financial statements; financial accounting reporting, including IFRS (International Financial Reporting Standards); financial analysis; inventory; operational assets; time value of money concepts; current, long-term and contingent liabilities. Includes accounting research, written and oral communication, and ethics considerations. May be repeated two times for credit. Assesses Core Learning Outcome 2."
ACCT 250OL  ,Capstone Financial Accounting,-1,5.0,"A continuation of ACCT& 202.  Focuses on an expanded study of the fundamentals of accounting; including financial accounting theory and concepts; internal controls; financial statements; financial accounting reporting, including IFRS (International Financial Reporting Standards); financial analysis; inventory; operational assets; time value of money concepts; current, long-term and contingent liabilities. Includes accounting research, written and oral communication, and ethics considerations. May be repeated two times for credit. Assesses Core Learning Outcome 2."
ACCT& 201HY1 ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 201HY2 ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 202HY1 ,Principles of Accounting II,-1,5.0,"(TE)  Continuation of ACCT& 201.  Focus on issues and choices involved in asset valuation, income determination, and financial statement preparation.  Topics covered include treatment of long-term assets, current and long-term liabilities, short- and long-term investments, and transactions affecting stockholder equity.  Also covers preparation of cash flow statements and calculation, as well as interpretation of financial performance ratios and comparative and common-size financial statements. Assesses Core Learning Outcomes 2, 3."
ACCT& 202HY2 ,Principles of Accounting II,-1,5.0,"(TE)  Continuation of ACCT& 201.  Focus on issues and choices involved in asset valuation, income determination, and financial statement preparation.  Topics covered include treatment of long-term assets, current and long-term liabilities, short- and long-term investments, and transactions affecting stockholder equity.  Also covers preparation of cash flow statements and calculation, as well as interpretation of financial performance ratios and comparative and common-size financial statements. Assesses Core Learning Outcomes 2, 3."
ACCT& 203HY1 ,Principles of Accounting III,-1,5.0,"(TE)  Use of accounting as a tool to assist management in planning, analyzing, control, and decision making.  Includes budgeting, cost behavior, cost-volume-profit analysis, standard cost systems, cost variance analysis, and capital project analysis using cash flow diagrams and present value techniques.  Emphasizes accounting methods helpful in commonly encountered business decision problems. Assesses Core Learning Outcome 2."
ACCT& 203ML  ,Principles of Accounting III,-1,5.0,"(TE)  Use of accounting as a tool to assist management in planning, analyzing, control, and decision making.  Includes budgeting, cost behavior, cost-volume-profit analysis, standard cost systems, cost variance analysis, and capital project analysis using cash flow diagrams and present value techniques.  Emphasizes accounting methods helpful in commonly encountered business decision problems. Assesses Core Learning Outcome 2."
ACCT& 203MO  ,Principles of Accounting III,-1,5.0,"(TE)  Use of accounting as a tool to assist management in planning, analyzing, control, and decision making.  Includes budgeting, cost behavior, cost-volume-profit analysis, standard cost systems, cost variance analysis, and capital project analysis using cash flow diagrams and present value techniques.  Emphasizes accounting methods helpful in commonly encountered business decision problems. Assesses Core Learning Outcome 2."
AEP 067A   ,Academic Listening and Speaking,-1,3.0,This course is designed for non-native speakers of English to practice advanced listening and speaking skills to specifically prepare for academic environments in an American classroom. *This course is only for students admitted through the International Programs office.
AEP 067B   ,Academic Listening and Speaking,-1,3.0,This course is designed for non-native speakers of English to practice advanced listening and speaking skills to specifically prepare for academic environments in an American classroom. *This course is only for students admitted through the International Programs office.
AEP 077B   ,Academic English Grammar,-1,4.0,"Advanced English grammar for non-native speakers with an emphasis on sentence function and pattern, parts of speech, and punctuation. Various types of clauses, compound, complex, and compound-complex sentences will be mastered. *This course is only for students admitted through the International Programs office."
AEP 097B   ,Academic Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers with an emphasis on paragraph development, writing process, summarizing reading materials, scanning for information, and vocabulary development.  AEP 097 is equivalent to English 097 and may be substituted by English 097. *This course is only for students admitted through the International Programs office."
AEP 098A   ,Introduction to College Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers in preparation for college writing. The course covers the writing process and different styles of essay writing. In addition, it develops reading skills such as scanning for critical information, identifying main ideas, and supporting details. IELP 098 is equivalent to English 098 and may be substituted for English 098. *This course is only for students admitted through the International Programs office."
AEP 098B   ,Introduction to College Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers in preparation for college writing. The course covers the writing process and different styles of essay writing. In addition, it develops reading skills such as scanning for critical information, identifying main ideas, and supporting details. IELP 098 is equivalent to English 098 and may be substituted for English 098. *This course is only for students admitted through the International Programs office."
ANTH 116DHY  ,Cultures in Context,-1,5.0,"(SS, D) General study of the field of cultural anthropology, which studies humanity from a cross-cultural perspective and the field of linguistic anthropology which examines human verbal and non-verbal communication.  Writing assignments represent a significant component of coursework. Assesses Core Learning Outcomes 2, 3, 4."
ANTH& 115HY  ,Our Place in Nature,-1,5.0,"(NS) General study of the field of archaeology, which explores human cultures through an examination of material remains and how archaeologists gather and use scientific data. Also this course is a general study of the field of biological anthropology, using evolutionary theory to explore human biological variation, the origins, major evolutionary trends, and modern taxonomic relationships of the nonhuman primates as well as the human fossil record in geological context of the last six million years of earth history. Writing assignments represent a significant component of coursework. Assesses Core Learning Outcomes 2, 3, 4."
ART 110B   ,Design I: 2 Dimensional,-1,5.0,"(HP) First in a sequence of courses to develop understanding, recognition and manipulation of the basic principles and elements of design as applied to two-dimensional art.  Faculty structured assignments focus on the use of line, shape, color, value, space, pattern, and texture as a point of departure for critical thinking and creative problem solving. Assesses Core Learning Outcome 1. Lab fee: $48.40."
ART 111A   ,Design II: 3 Dimensional,-1,5.0,"(HP) Continued exploration of the basic principles and elements of design as applied to three-dimensional art.  Faculty structured assignments
focus on the use of line, planes, surface, materiality, shape, volume, and structure with emphasis on craft and presentation.  Basic principles
and elements used to solve 3-D visual problems in a variety of materials using hand tools. Assesses Core Learning Outcome 1.
Lab fee: $48.40."
ART 115S   ,Drawing I,-1,5.0,"(HP) Introductory course emphasizing principles and elements of the visual arts as seen in drawing. Development of observational drawing skills in the use of linear perspective, line, shape, value, space, proportion and scale. Primary medium used is charcoal. Faculty guided exercises including the role of drawing as a tool in other visual disciplines, style, history, and vocabulary. Assesses Core Learning Outcome 1.
Lab fee: $48.40."
ART 124DMO  ,Understanding World Art,-1,5.0,"(H,D)  Introduction to artwork from various under-represented world cultures in a wide range of media for the student with little experience in the visual arts. Traditional and contemporary approaches to creating artwork as practiced globally and historically combined with the study of visual language and culture in the medium, theme, subject or culture represented. Course includes all forms of visual expression, the process of artistic creation and thought, and the role of visual culture in society and history. Discussion and studies in forms of representation as examples of culturally based perceptions of time, space, self, identity, community and otherness. Assesses Core Learning Outcome 4."
ART 195A   ,Foundation Portfolio Review,-1,2.0,"Portfolio review of students work upon successful completion of program core curricula courses.   Student works individually with an assigned program instructor in evaluating their submitted portfolio to determine their readiness for advanced level courses leading to an AFA degree. Assesses Core Learning Outcomes 1, 3. Lab fee: $19.36."
ART 200A   ,Painting I,-1,5.0,"(HP)  Studio practice of fundamental painting skills through traditional imagery using the media of oil paint.  Technical information about the physical properties of paint, mediums, support and tools.  Language and understanding of the principles and elements of art as they apply to painting.  Manipulation of the media for representation including color theory, form, value, texture, shape and composition.  Faculty structured exercises to develop skills, style and expression.  Advanced courses include contemporary modes of painting, mixed media techniques, professional development and presentation. ART 110 Recommended. Assesses Core Learning Outcome 1. Lab fee: $48.40."
ART 201A   ,Painting II,-1,5.0,"(HP)  Studio practice of fundamental painting skills through traditional imagery using the media of oil paint.  Technical information about the physical properties of paint, mediums, support and tools.  Language and understanding of the principles and elements of art as they apply to painting.  Manipulation of the media for representation including color theory, form, value, texture, shape and composition.  Faculty structured exercises to develop skills, style and expression.  Advanced courses include contemporary modes of painting, mixed media techniques, professional development and presentation. Assesses Core Learning Outcome 1. Lab fee: $48.40"
ART 230CA  ,Glassblowing I,-1,2.0,"(HP) Sequence of courses for the non-major designed to develop fundamental skills to manipulate the hot glass medium. Introduction to the language of the visual arts as it pertains to blown glass. Advanced courses include color application and the use of torches, bits and molds. Assesses Core Learning Outcome 1."
ART 231CA  ,Glassblowing II,-1,2.0,"(HP) Sequence of courses for the non-major designed to develop fundamental skills to manipulate the hot glass medium. Introduction to the language of the visual arts as it pertains to blown glass. Advanced courses include color application and the use of torches, bits and molds. Assesses Core Learning Outcome 1."
ART 270S   ,Ceramics I,-1,5.0,"(HP) Sequence focusing on the development of the skills needed to manipulate the ceramic medium.  The use of various forming methods, technical information, and the language of the ceramic medium.  Principles and elements of art as they apply to ceramics.  Faculty-structured projects to develop physical skills, style, and an understanding of functional and sculptural aesthetics.  Advanced courses in wheel throwing, advanced glazing and firing techniques, and contemporary topics. ART 110 recommended. Assesses Core Learning Outcome 2. Lab fee: $70."
ART 271S   ,Ceramics II,-1,5.0,"(HP) The first course in a sequence of three focusing on the development of the skills needed to manipulate the ceramic medium.  The use of various forming methods, technical information, and the language of the ceramic medium.  Principles and elements of art as they apply to ceramics.  Faculty-structured projects to develop physical skills, style, and an understanding of functional and sculptural aesthetics.  Advanced courses in wheel throwing, advanced glazing and firing techniques, and contemporary topics. Assesses Core Learning Outcome 2. Lab fee: $70."
ART 272S   ,Ceramics III,-1,5.0,"(HP) The second course in a sequence of three focusing on the development of the skills needed to manipulate the ceramic medium.  The use of various forming methods, technical information, and the language of the ceramic medium.  Principles and elements of art as they apply to ceramics.  Faculty-structured projects to develop physical skills, style, and an understanding of functional and sculptural aesthetics.  Advanced courses in wheel throwing, advanced glazing and firing techniques, and contemporary topics. Assesses Core Learning Outcome 2. Lab fee: $70."
ART 294A   ,Advanced Studio Art,-1,5.0,"(HP) Advanced course focused on developing a body of work with faculty guidance emphasizing personal exploration, studio research of contemporary and traditional themes, issues, media, skills and techniques, and presentation in 2D studio art. Media may be combined.  Students choice of media. Previous experience in primary medium of choice required. Assesses Course Learning Outcome 1. Lab fee: $48.40."
ART 295HY2 ,Professional Practices,-1,5.0,"Advanced course required for students nearing the completion of their Associate of Fine Arts degree in art, graphic design or photography or nearing completion of an Associate of Technical Arts in Interactive Web Design. Professional practices include portfolio design, development and editing. Focuses on self-assessment, development of personal style (or ""personal presentation"") and resume preparation. Assesses Core Learning Outcomes 1, 3. Lab fee: $104.50."
ART 297A   ,Gallery and Exhibit Technique,-1,2.0,"(TE) Instruction and practical experience in all aspects of the design and installation of exhibitions. Content includes curating, installation and de-installation of artwork, graphic design for posters and publications. Graphic design experience is preferred (GRA 110). Weekly time commitment includes two hours of classroom instruction and three hours of hands-on gallery supervision each week. May be repeated three times for credit. Limit 5 students. Assesses Core Learning Outcome 3. Lab fee: $21.36"
ASL& 122A   ,American Sign Language II,-1,5.0,"(H) Second course of beginning sequence in American Sign Language (ASL), a visual and gestural language used by Deaf people. These courses are intended to introduce students to the grammar and vocabulary of ASL while focusing on beginning conversational skills. Introduction to the history and culture of those who identify themselves as Deaf. The focus of each of these courses is ASL, and its construction, use and value to the Deaf community. These courses will encourage small and large group activities with exposure to Deaf culture. Assesses Core Learning Outcomes 1, 3, 4."
ASL& 123A   ,American Sign Language III,-1,5.0,"(H) Third course of beginning sequence in American Sign Language (ASL), a visual and gestural language used by Deaf people. These courses are intended to introduce students to the grammar and vocabulary of ASL which focusing on beginning conversational skills. Introduction to the history and culture of those who identify themselves as Deaf. The focus of each of these courses is ASL, and its construction, use and value to the Deaf community. These courses will encourage small and large group activities with exposure to Deaf culture. Assesses Core Learning Outcomes 1, 3, 4."
ASL& 123S   ,American Sign Language III,-1,5.0,"(H) Third course of beginning sequence in American Sign Language (ASL), a visual and gestural language used by Deaf people. These courses are intended to introduce students to the grammar and vocabulary of ASL which focusing on beginning conversational skills. Introduction to the history and culture of those who identify themselves as Deaf. The focus of each of these courses is ASL, and its construction, use and value to the Deaf community. These courses will encourage small and large group activities with exposure to Deaf culture. Assesses Core Learning Outcomes 1, 3, 4."
ASL& 223CE  ,American Sign Language VI,-1,5.0,"(H) Continuation of ASL& 121, 122, 123. Third course in sequence at the intermediate level focusing on developing ASL fluency. Focus on the ability to narrate events that occurred in the past, make suggestions and requests, talk about life events, describe weekend activities, ask about nationality and family names and narrate family immigration history. Assesses Core Learning Outcomes 1, 3, 4."
AVA 103A   ,Powerplant Technology,-1,10.0,"Theory and Practice: Maintenance and overhaul of aircraft turbine engines, fuel metering, exhaust, induction and fuel systems for both reciprocating and turbine engines.  Students inspect, check, repair and service the above systems.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6. Lab fee: $71.63."
