CourseNumber,Section,Title,MinCredit,MaxCredit,Description
ACCT 110,OL2 ,Small Business Accounting,-1,5.0,"Theory and practice of double-entry bookkeeping for small unincorporated businesses. Includes use of journals and ledgers, preparation of basic payroll records, worksheets, financial statements, bank statement reconciliations, and adjusting and closing entries.  Emphasizes development of basic bookkeeping knowledge and skills.  Not intended for transfer."
ACCT& 201,HY  ,Principles of Accounting I,-1,5.0,"(TE)  Introductory transfer-level accounting course.  Required for all business administration transfer students.  Includes introduction to the financial accounting process, principles, concepts, and issues that govern the preparation and interpretation of financial statements; theory of double-entry bookkeeping; accounting procedures for service and merchandising firms; and the accounting treatment for cash, receivables, and inventory. Assesses Core Learning Outcome 2."
ACCT& 202,HY  ,Principles of Accounting II,-1,5.0,"(TE)  Continuation of ACCT& 201.  Focus on issues and choices involved in asset valuation, income determination, and financial statement preparation.  Topics covered include treatment of long-term assets, current and long-term liabilities, short- and long-term investments, and transactions affecting stockholder equity.  Also covers preparation of cash flow statements and calculation, as well as interpretation of financial performance ratios and comparative and common-size financial statements. Assesses Core Learning Outcomes 2, 3."
ACCT& 203,OL  ,Principles of Accounting III,-1,5.0,"(TE)  Use of accounting as a tool to assist management in planning, analyzing, control, and decision making.  Includes budgeting, cost behavior, cost-volume-profit analysis, standard cost systems, cost variance analysis, and capital project analysis using cash flow diagrams and present value techniques.  Emphasizes accounting methods helpful in commonly encountered business decision problems. Assesses Core Learning Outcome 2."
AEP 067,A   ,Academic Listening and Speaking,-1,3.0,This course is designed for non-native speakers of English to practice advanced listening and speaking skills to specifically prepare for academic environments in an American classroom. *This course is only for students admitted through the International Programs office.
AEP 067,B   ,Academic Listening and Speaking,-1,3.0,This course is designed for non-native speakers of English to practice advanced listening and speaking skills to specifically prepare for academic environments in an American classroom. *This course is only for students admitted through the International Programs office.
AEP 077,A   ,Academic English Grammar,-1,4.0,"Advanced English grammar for non-native speakers with an emphasis on sentence function and pattern, parts of speech, and punctuation. Various types of clauses, compound, complex, and compound-complex sentences will be mastered. *This course is only for students admitted through the International Programs office."
AEP 077,B   ,Academic English Grammar,-1,4.0,"Advanced English grammar for non-native speakers with an emphasis on sentence function and pattern, parts of speech, and punctuation. Various types of clauses, compound, complex, and compound-complex sentences will be mastered. *This course is only for students admitted through the International Programs office."
AEP 097,A   ,Academic Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers with an emphasis on paragraph development, writing process, summarizing reading materials, scanning for information, and vocabulary development.  AEP 097 is equivalent to English 097 and may be substituted by English 097. *This course is only for students admitted through the International Programs office."
AEP 097,B   ,Academic Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers with an emphasis on paragraph development, writing process, summarizing reading materials, scanning for information, and vocabulary development.  AEP 097 is equivalent to English 097 and may be substituted by English 097. *This course is only for students admitted through the International Programs office."
AEP 098,A   ,Introduction to College Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers in preparation for college writing. The course covers the writing process and different styles of essay writing. In addition, it develops reading skills such as scanning for critical information, identifying main ideas, and supporting details. IELP 098 is equivalent to English 098 and may be substituted for English 098. *This course is only for students admitted through the International Programs office."
AEP 098,B   ,Introduction to College Reading and Writing,-1,5.0,"Academic reading and writing for non-native speakers in preparation for college writing. The course covers the writing process and different styles of essay writing. In addition, it develops reading skills such as scanning for critical information, identifying main ideas, and supporting details. IELP 098 is equivalent to English 098 and may be substituted for English 098. *This course is only for students admitted through the International Programs office."
ANTH 116D,OL  ,Cultures in Context,-1,5.0,"(SS, D) General study of the field of cultural anthropology, which studies humanity from a cross-cultural perspective and the field of linguistic anthropology which examines human verbal and non-verbal communication.  Writing assignments represent a significant component of coursework. Assesses Core Learning Outcomes 2, 3, 4."
ANTH 122D,OL  ,Human Diversity,-1,5.0,"(SS, D) Explores how racial categories and the social consequences of research into human differences have resulted in the controversies surrounding stem cell research, cloning, and other topics labeled as neo-eugenics. Writing assignments represent a significant component of coursework. Assesses Core Learning Outcomes 2, 3, 4."
ANTH 182,A   ,Service Learning,-1,2.0,"Service Learning combines the opportunity of volunteerism with academic applications of social, economic, and political issues important to the local community.  Provides for real-life application of skills and knowledge that extends learning beyond the classroom and into the community.  May be repeated up to six credits. Assesses Core Learning Outcomes 2, 3, 4."
ART 000P,CA  ,Printmaking Studio,-1,0.0,"Prior to registering for this studio, lab students must contact the studio technician in Whitehorse Hall, room 320,to complete an open studio use agreement. For more information, contact Miles Labizke, 425-388-9033. Self-support, non-tuition, non-credit class.  Studio use fee: $180. Non-refundable."
ART 110,A   ,Design I: 2 Dimensional,-1,5.0,"(HP) First in a sequence of courses to develop understanding, recognition and manipulation of the basic principles and elements of design as applied to two-dimensional art.  Faculty structured assignments focus on the use of line, shape, color, value, space, pattern, and texture as a point of departure for critical thinking and creative problem solving. Assesses Core Learning Outcome 1. Lab fee: $48.40"
ART 195,A   ,Foundation Portfolio Review,-1,2.0,"Portfolio review of students work upon successful completion of program core curricula courses.   Student works individually with an assigned program instructor in evaluating their submitted portfolio to determine their readiness for advanced level courses leading to an AFA degree. Assesses Core Learning Outcomes 1, 3."
ART 228D,OL  ,The World of Japanese Manga/Anime,-1,5.0,"(H) Introduction to the history, culture and artists who developed Japanese Manga and Anime. Focuses on the historical influences, artists of the ""Golden Era"" and the cutting edge developments by modern day artists. Examines the cross inspiration between Japanese and Western artists to understand how international this art form has become. Assesses Core Learning Outcomes 1, 2, 4."
ASL& 121,CE  ,American Sign Language I,-1,5.0,"(H) Beginning sequence of three courses in American Sign Language (ASL), a visual and gestural language used by Deaf people. These courses are intended to introduce students to the grammar and vocabulary of ASL while focusing on beginning conversational skills.  Introduction to the history and culture of those who identify themselves as Deaf.  The focus of each of these courses is ASL, its constructions, use and value to the Deaf community. These courses will encourage small and large group activities with exposure to Deaf culture. Assesses Core Learning Outcomes 1, 3, 4."
ASTR& 101,A   ,Introduction to Astronomy,-1,5.0,"(NS-L)  Integrated laboratory/lecture course emphasizing observational techniques, the history and evolution of astronomical concepts, and the origin and composition of the solar system.  Lecture, video, and slide demonstrations, plus hands-on laboratory sessions and evening field observing sessions. Assesses Core Learning Outcome 2. Lab fee: $33.25. Field trip fee: $60."
AVA 104,A   ,Powerplant Technology,-1,10.0,"Theory and Practice: Engine lubrication, cooling, propellers, fire protection, instruments, and engine inspection. Students inspect, check service, repair and perform powerplant conformity and airworthiness inspections.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6.

Lab fee: $71.63."
AVA 104,J   ,Powerplant Technology,-1,10.0,"Theory and Practice: Engine lubrication, cooling, propellers, fire protection, instruments, and engine inspection. Students inspect, check service, repair and perform powerplant conformity and airworthiness inspections.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6.

Lab fee: $71.63."
AVA 205,A   ,Airframe Technology,-1,10.0,"Theory and Practice: Airframe conformity and airworthiness inspections, troubleshooting, aircraft instruments, communications and navigation, ice and rain control. Airframe review prior to FAA written, oral and practical exams for airframe rating.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6.

Lab fee: $71.63."
AVA 205,J   ,Airframe Technology,-1,10.0,"Theory and Practice: Airframe conformity and airworthiness inspections, troubleshooting, aircraft instruments, communications and navigation, ice and rain control. Airframe review prior to FAA written, oral and practical exams for airframe rating.  Course included in FAA approved Part 147 curriculum. Assesses Core Learning Outcomes 2, 6.

Lab fee: $71.63."
