CourseNumber,Section,StartTimeID,EndTimeID,DayID,QuarterID,Year,Status
ACCT 110,HY  ,61,67,2,1,-1,-1
ACCT 110,HY  ,61,67,4,1,-1,-1
ACCT 110,HY1 ,61,67,1,1,-1,-1
ACCT 110,HY1 ,61,67,3,1,-1,-1
ACCT 210,HY  ,44,53,1,1,-1,-1
ACCT 210,HY  ,44,53,3,1,-1,-1
ACCT& 201,HY1 ,54,67,2,1,-1,-1
ACCT& 201,HY1 ,54,67,4,1,-1,-1
ACCT& 201,HY2 ,47,60,1,1,-1,-1
ACCT& 201,HY2 ,47,60,3,1,-1,-1
ACCT& 201,MO  ,77,90,1,1,-1,-1
ACCT& 201,MO  ,77,90,3,1,-1,-1
ACCT& 202,HY  ,54,67,1,1,-1,-1
ACCT& 202,HY  ,54,67,3,1,-1,-1
AEP 067,A   ,61,69,1,1,-1,-1
AEP 067,A   ,61,69,3,1,-1,-1
AEP 067,B   ,61,69,2,1,-1,-1
AEP 067,B   ,61,69,4,1,-1,-1
AEP 077,A   ,54,59,1,1,-1,-1
AEP 077,A   ,54,59,2,1,-1,-1
AEP 077,A   ,54,59,3,1,-1,-1
AEP 077,A   ,54,59,4,1,-1,-1
AEP 077,B   ,54,59,1,1,-1,-1
AEP 077,B   ,54,59,2,1,-1,-1
AEP 077,B   ,54,59,3,1,-1,-1
AEP 077,B   ,54,59,4,1,-1,-1
AEP 097,A   ,75,81,1,1,-1,-1
AEP 097,A   ,75,81,2,1,-1,-1
AEP 097,A   ,75,81,3,1,-1,-1
AEP 097,A   ,75,81,4,1,-1,-1
AEP 097,B   ,75,81,1,1,-1,-1
AEP 097,B   ,75,81,2,1,-1,-1
AEP 097,B   ,75,81,3,1,-1,-1
AEP 097,B   ,75,81,4,1,-1,-1
AEP 098,A   ,61,67,1,1,-1,-1
AEP 098,A   ,61,67,2,1,-1,-1
AEP 098,A   ,61,67,3,1,-1,-1
AEP 098,A   ,61,67,4,1,-1,-1
AEP 098,B   ,75,81,1,1,-1,-1
AEP 098,B   ,75,81,2,1,-1,-1
AEP 098,B   ,75,81,3,1,-1,-1
AEP 098,B   ,75,81,4,1,-1,-1
ANTH 116D,HY  ,61,72,2,1,-1,-1
ANTH 116D,HY  ,61,72,4,1,-1,-1
ANTH& 115,HY  ,61,72,1,1,-1,-1
ANTH& 115,HY  ,61,72,3,1,-1,-1
ANTH& 206D,A   ,47,53,1,1,-1,-1
ANTH& 206D,A   ,47,53,2,1,-1,-1
ANTH& 206D,A   ,47,53,3,1,-1,-1
ANTH& 206D,A   ,47,53,4,1,-1,-1
ART 110,A   ,49,60,1,1,-1,-1
ART 110,A   ,49,60,3,1,-1,-1
ART 110,A   ,49,60,5,1,-1,-1
ART 110,B   ,61,72,1,1,-1,-1
ART 110,B   ,61,72,3,1,-1,-1
ART 110,B   ,61,72,5,1,-1,-1
ART 110,S   ,110,127,2,1,-1,-1
ART 110,S   ,110,127,4,1,-1,-1
ART 113,A   ,55,77,5,1,-1,-1
ART 114,A   ,55,77,5,1,-1,-1
ART 115,B   ,82,99,1,1,-1,-1
ART 115,B   ,82,99,3,1,-1,-1
ART 123,A   ,61,78,1,1,-1,-1
