CourseNumber,Section,StartTimeID,EndTimeID,DayID,QuarterID,Year,Status
ACCT 250,HY  ,47,53,1,3,-1,-1
ACCT 250,HY  ,47,53,3,3,-1,-1
ACCT& 201,HY1 ,54,67,2,3,-1,-1
ACCT& 201,HY1 ,54,67,4,3,-1,-1
ACCT& 201,HY2 ,68,81,2,3,-1,-1
ACCT& 201,HY2 ,68,81,4,3,-1,-1
ACCT& 202,HY1 ,54,67,1,3,-1,-1
ACCT& 202,HY1 ,54,67,3,3,-1,-1
ACCT& 202,HY2 ,47,60,1,3,-1,-1
ACCT& 202,HY2 ,47,60,3,3,-1,-1
ACCT& 203,HY1 ,68,81,1,3,-1,-1
ACCT& 203,HY1 ,68,81,3,3,-1,-1
ACCT& 203,MO  ,77,90,1,3,-1,-1
ACCT& 203,MO  ,77,90,3,3,-1,-1
AEP 067,A   ,61,69,1,3,-1,-1
AEP 067,A   ,61,69,3,3,-1,-1
AEP 067,B   ,61,69,2,3,-1,-1
AEP 067,B   ,61,69,4,3,-1,-1
AEP 077,B   ,54,59,1,3,-1,-1
AEP 077,B   ,54,59,2,3,-1,-1
AEP 077,B   ,54,59,3,3,-1,-1
AEP 077,B   ,54,59,4,3,-1,-1
AEP 097,B   ,75,81,1,3,-1,-1
AEP 097,B   ,75,81,2,3,-1,-1
AEP 097,B   ,75,81,3,3,-1,-1
AEP 097,B   ,75,81,4,3,-1,-1
AEP 098,A   ,61,67,1,3,-1,-1
AEP 098,A   ,61,67,2,3,-1,-1
AEP 098,A   ,61,67,3,3,-1,-1
AEP 098,A   ,61,67,4,3,-1,-1
AEP 098,B   ,75,81,1,3,-1,-1
AEP 098,B   ,75,81,2,3,-1,-1
AEP 098,B   ,75,81,3,3,-1,-1
AEP 098,B   ,75,81,4,3,-1,-1
ANTH 116D,HY  ,64,74,2,3,-1,-1
ANTH 116D,HY  ,64,74,4,3,-1,-1
ANTH& 115,HY  ,64,74,1,3,-1,-1
ANTH& 115,HY  ,64,74,3,3,-1,-1
ART 110,B   ,61,72,1,3,-1,-1
ART 110,B   ,61,72,3,3,-1,-1
ART 110,B   ,61,72,5,3,-1,-1
ART 111,A   ,82,99,2,3,-1,-1
ART 111,A   ,82,99,4,3,-1,-1
ART 115,S   ,110,127,2,3,-1,-1
ART 115,S   ,110,127,4,3,-1,-1
ART 124D,MO  ,91,104,2,3,-1,-1
ART 124D,MO  ,91,104,4,3,-1,-1
ART 200,A   ,82,100,2,3,-1,-1
ART 200,A   ,82,100,4,3,-1,-1
ART 201,A   ,82,100,2,3,-1,-1
ART 201,A   ,82,100,4,3,-1,-1
ART 230,CA  ,109,133,4,3,-1,-1
ART 231,CA  ,109,133,3,3,-1,-1
ART 270,S   ,110,127,2,3,-1,-1
ART 270,S   ,110,127,4,3,-1,-1
ART 271,S   ,110,127,2,3,-1,-1
ART 271,S   ,110,127,4,3,-1,-1
ART 272,S   ,110,127,2,3,-1,-1
ART 272,S   ,110,127,4,3,-1,-1
ART 294,A   ,75,92,1,3,-1,-1
ART 294,A   ,75,92,3,3,-1,-1
ART 295,HY2 ,82,93,1,3,-1,-1
ART 295,HY2 ,82,93,3,3,-1,-1
ASL& 122,A   ,82,88,1,3,-1,-1
ASL& 122,A   ,82,88,2,3,-1,-1
ASL& 122,A   ,82,88,3,3,-1,-1
ASL& 122,A   ,82,88,4,3,-1,-1
ASL& 123,A   ,75,81,1,3,-1,-1
ASL& 123,A   ,75,81,2,3,-1,-1
ASL& 123,A   ,75,81,3,3,-1,-1
ASL& 123,A   ,75,81,4,3,-1,-1
ASL& 123,S   ,103,116,2,3,-1,-1
ASL& 123,S   ,103,116,4,3,-1,-1
ASL& 223,CE  ,103,116,1,3,-1,-1
ASL& 223,CE  ,103,116,3,3,-1,-1
BIOL 107,A   ,61,72,1,3,-1,-1
BIOL 107,A   ,61,72,3,3,-1,-1
BIOL 107,A   ,61,72,5,3,-1,-1
BIOL& 100,B   ,91,102,1,3,-1,-1
BIOL& 100,B   ,91,102,2,3,-1,-1
BIOL& 100,B   ,91,102,4,3,-1,-1
BIOL& 211,LC1 ,67,72,1,3,-1,-1
BIOL& 211,LC1 ,67,72,2,3,-1,-1
BIOL& 211,LC1 ,67,72,3,3,-1,-1
BIOL& 211,LC1 ,67,72,4,3,-1,-1
BIOL& 211,LC2 ,67,72,1,3,-1,-1
BIOL& 211,LC2 ,67,72,2,3,-1,-1
BIOL& 211,LC2 ,67,72,3,3,-1,-1
BIOL& 211,LC2 ,67,72,4,3,-1,-1
BIOL& 211P,PS1 ,55,60,1,3,-1,-1
BIOL& 211P,PS2 ,67,72,1,3,-1,-1
BIOL& 222,B   ,55,60,1,3,-1,-1
BIOL& 222,B   ,55,60,4,3,-1,-1
BIOL& 223,A   ,61,66,1,3,-1,-1
BIOL& 223,A   ,61,66,5,3,-1,-1
BIOL& 223P,PS1 ,67,72,1,3,-1,-1
BIOL& 231,B   ,49,60,1,3,-1,-1
BIOL& 231,B   ,49,60,3,3,-1,-1
BIOL& 231,C   ,61,72,2,3,-1,-1
BIOL& 231,C   ,61,72,4,3,-1,-1
BIOL& 232,A   ,49,59,2,3,-1,-1
BIOL& 232,A   ,49,59,3,3,-1,-1
BIOL& 232,A   ,49,59,4,3,-1,-1
BIOL& 232,B   ,61,72,2,3,-1,-1
BIOL& 232,B   ,61,72,4,3,-1,-1
BIOL& 232,C   ,61,72,2,3,-1,-1
BIOL& 232,C   ,61,72,4,3,-1,-1
BIOL& 232,D   ,75,89,1,3,-1,-1
BIOL& 232,D   ,75,89,2,3,-1,-1
BIOL& 232,E   ,75,89,1,3,-1,-1
BIOL& 232,E   ,75,89,2,3,-1,-1
BIOL& 260,S   ,103,114,2,3,-1,-1
BIOL& 260,S   ,103,114,4,3,-1,-1
BT 100,HY  ,61,67,1,3,-1,-1
BT 100,HY  ,61,67,2,3,-1,-1
BT 100,HY  ,61,67,3,3,-1,-1
BT 100,HY  ,61,67,4,3,-1,-1
BT 100,T   ,117,130,2,3,-1,-1
BT 100,T   ,117,130,4,3,-1,-1
BT 105,MH  ,105,118,2,3,-1,-1
BT 105,MH  ,105,118,4,3,-1,-1
BT 115,HY  ,75,81,1,3,-1,-1
BT 115,HY  ,75,81,2,3,-1,-1
BT 115,HY  ,75,81,3,3,-1,-1
BT 115,HY  ,75,81,4,3,-1,-1
BT 130,T   ,117,130,2,3,-1,-1
BT 130,T   ,117,130,4,3,-1,-1
BT 181D,HY  ,68,74,1,3,-1,-1
BT 181D,HY  ,68,74,2,3,-1,-1
BT 181D,HY  ,68,74,3,3,-1,-1
BT 181D,HY  ,68,74,4,3,-1,-1
BT 182,HY  ,75,81,1,3,-1,-1
BT 182,HY  ,75,81,2,3,-1,-1
BT 182,HY  ,75,81,3,3,-1,-1
BT 182,HY  ,75,81,4,3,-1,-1
BT 219,MH  ,105,118,2,3,-1,-1
BT 219,MH  ,105,118,4,3,-1,-1
BT 219,T   ,117,130,2,3,-1,-1
BT 219,T   ,117,130,4,3,-1,-1
BT 240,T   ,117,130,2,3,-1,-1
BT 240,T   ,117,130,4,3,-1,-1
BT 242,HY  ,54,60,1,3,-1,-1
BT 242,HY  ,54,60,2,3,-1,-1
BT 242,HY  ,54,60,3,3,-1,-1
BT 242,HY  ,54,60,4,3,-1,-1
BT 243,HY  ,61,67,1,3,-1,-1
BT 243,HY  ,61,67,3,3,-1,-1
BUS 130,HYA ,68,74,1,3,-1,-1
BUS 130,HYA ,68,74,2,3,-1,-1
BUS 130,HYA ,68,74,3,3,-1,-1
BUS 130,HYA ,68,74,4,3,-1,-1
BUS 130,HYB ,68,74,1,3,-1,-1
BUS 130,HYB ,68,74,2,3,-1,-1
BUS 130,HYB ,68,74,3,3,-1,-1
BUS 130,HYB ,68,74,4,3,-1,-1
BUS 150,HY  ,68,74,2,3,-1,-1
BUS 150,HY  ,68,74,4,3,-1,-1
BUS 155,HY  ,54,67,2,3,-1,-1
BUS 155,HY  ,54,67,4,3,-1,-1
BUS 165,HYA ,75,88,1,3,-1,-1
