CourseNumber,Section,StartTimeID,EndTimeID,DayID,QuarterID,Year,Status
ACCT& 201,HY  ,47,60,2,4,-1,-1
ACCT& 201,HY  ,47,60,4,4,-1,-1
ACCT& 202,HY  ,64,78,2,4,-1,-1
ACCT& 202,HY  ,64,78,4,4,-1,-1
AEP 067,A   ,61,71,1,4,-1,-1
AEP 067,A   ,61,71,3,4,-1,-1
AEP 067,B   ,61,71,2,4,-1,-1
AEP 067,B   ,61,71,4,4,-1,-1
AEP 077,A   ,54,60,1,4,-1,-1
AEP 077,A   ,54,60,2,4,-1,-1
AEP 077,A   ,54,60,3,4,-1,-1
AEP 077,A   ,54,60,4,4,-1,-1
AEP 077,B   ,54,60,1,4,-1,-1
AEP 077,B   ,54,60,2,4,-1,-1
AEP 077,B   ,54,60,3,4,-1,-1
AEP 077,B   ,54,60,4,4,-1,-1
AEP 097,A   ,73,81,1,4,-1,-1
AEP 097,A   ,73,81,2,4,-1,-1
AEP 097,A   ,73,81,3,4,-1,-1
AEP 097,A   ,73,81,4,4,-1,-1
AEP 097,B   ,73,81,1,4,-1,-1
AEP 097,B   ,73,81,2,4,-1,-1
AEP 097,B   ,73,81,3,4,-1,-1
AEP 097,B   ,73,81,4,4,-1,-1
AEP 098,A   ,64,72,1,4,-1,-1
AEP 098,A   ,64,72,2,4,-1,-1
AEP 098,A   ,64,72,3,4,-1,-1
AEP 098,A   ,64,72,4,4,-1,-1
AEP 098,B   ,73,81,1,4,-1,-1
AEP 098,B   ,73,81,2,4,-1,-1
AEP 098,B   ,73,81,3,4,-1,-1
AEP 098,B   ,73,81,4,4,-1,-1
ART 000P,CA  ,58,97,1,4,-1,-1
ART 000P,CA  ,58,97,2,4,-1,-1
ART 000P,CA  ,58,97,3,4,-1,-1
ART 000P,CA  ,58,97,4,4,-1,-1
ART 110,A   ,49,63,1,4,-1,-1
ART 110,A   ,49,63,2,4,-1,-1
ART 110,A   ,49,63,4,4,-1,-1
ASL& 121,CE  ,64,81,2,4,-1,-1
ASL& 121,CE  ,64,81,4,4,-1,-1
ASTR& 101,A   ,57,67,1,4,-1,-1
ASTR& 101,A   ,57,67,2,4,-1,-1
ASTR& 101,A   ,57,67,3,4,-1,-1
ASTR& 101,A   ,57,67,4,4,-1,-1
BIOL& 211,A   ,49,63,1,4,-1,-1
BIOL& 211,A   ,49,63,3,4,-1,-1
BIOL& 211,B   ,49,63,1,4,-1,-1
BIOL& 211,B   ,49,63,3,4,-1,-1
BIOL& 231,B   ,67,81,1,4,-1,-1
BIOL& 231,B   ,67,81,3,4,-1,-1
BIOL& 232,B   ,64,75,1,4,-1,-1
BIOL& 232,B   ,64,75,2,4,-1,-1
BIOL& 232,B   ,64,75,4,4,-1,-1
BUS 165,HY  ,76,88,2,4,-1,-1
BUS 165,HY  ,76,88,4,4,-1,-1
BUS 165,HYB ,76,88,2,4,-1,-1
BUS 165,HYB ,76,88,4,4,-1,-1
CHEM& 121,C   ,64,76,1,4,-1,-1
CHEM& 121,C   ,64,76,2,4,-1,-1
CHEM& 121,C   ,64,76,3,4,-1,-1
CHEM& 140,A   ,49,61,1,4,-1,-1
CHEM& 140,A   ,49,61,3,4,-1,-1
CHEM& 140,A   ,49,61,4,4,-1,-1
CHEM& 140,B   ,49,61,1,4,-1,-1
CHEM& 140,B   ,49,61,3,4,-1,-1
CHEM& 140,B   ,49,61,4,4,-1,-1
CHEM& 140,C   ,82,94,1,4,-1,-1
CHEM& 140,C   ,82,94,2,4,-1,-1
